Link,Type (Single vs. List),Event_name,Fiscal_Year,Fiscal_Period,Event_Type,Event_Date,Time,Timezone,Company,Language,PDF_link,"Additonal (webcast link, phone number)","ect(multiples companies, no data, etc)"
https://investors.astronics.com/news-events/ir-calendar,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,webcast&phone number,
http://investors.fullhouseresorts.com/news-event/presentations,list,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,
https://www.aboutstay.com/news-releases/events,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,webcast,
https://investor.kimberly-clark.com/events-and-presentations/events,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,webcast,
https://ir.sutrobio.com/news-events,list,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
https://investors.switch.com/events-and-presentations,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
"https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
http://ir.shutterfly.com/investor-relations,list,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,webcast,
https://investor.juniper.net/investor-relations/events/default.aspx,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
https://www.ceragon.com/investors/webcasts,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,webcast,
https://www.tonixpharma.com/news-events/investor-presentations,list,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,SKIPPED(404),,,,,,,,,,,,
https://waterscorporation.gcs-web.com/events-and-presentations,SKIPPED(404),,,,,,,,,,,,
https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,
https://investors.angiodynamics.com/events.cfm,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,webcast,
https://ir.biminicapital.com/events-and-presentations/default.aspx,single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
https://investors.clr.com/event-calendar,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,webcast,
https://www.elcompanies.com/en/investors/events-and-presentations,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
http://ir.arcturusrx.com/investor-calendar,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,
https://www.stephens.com/institutional-equities-and-research/research/events/,list,Yes,No,No,Yes,Yes,No,No,Yes,No,No,,
http://ir.pdf.com/webcasts,list,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
https://ir.celgene.com/feed/Event.svc/GetEventList?apiKey=BF185719B0464B3CB809D23926182246&eventSelection=0&eventDateFilter=0&includeFinancialReports=true&includePresentations=true&includePressReleases=true&sortOperator=1&pageSize=-1&pageNumber=0&tagList=&includeTags=true&year=-1&excludeSelection=1,SKIPPED,,,,,,,,,,,,
https://www.transcat.com/investor-relations/earnings-releases/,list,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,
https://ir.collegiumpharma.com/events-and-presentations/event-calendar,list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
