,_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,copy_the_company_name_from_the_text,enter_date_here_mmddyyyy,enter_time_here_hhmm_pmam,please_select_the_event_type,select_fiscal_year,select_the_fiscal_period_check_as_many_as_it_applies,select_timezone,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
904,3085620981,8/5/2021 6:53,6143961828,8/5/2021 6:41,False,cf_internal,0.9507,45727626,IN,West Bengal,Howrah,103.75.194.242,NONE,5/21/2021,,None/Other,None,None/Other,None,,,,"May 21, 2021 Oppenheimer Rare and Orphan Disease Summit Click Here for Webcast",296,,,,,https://www.harmonybiosciences.com/investors/,71
905,3085620981,8/5/2021 6:54,6143962327,8/5/2021 6:44,False,cf_internal,0.9441,46414518,IN,West Bengal,Kolkata,223.223.151.189,OPPENHEIMER,5/21/2021,,Earnings_Release,None,None/Other,None,,,,"May 21, 2021 Oppenheimer Rare and Orphan Disease Summit Click Here for Webcast",296,,,,,https://www.harmonybiosciences.com/investors/,71
906,3085620981,8/5/2021 6:58,6143965522,8/5/2021 6:48,False,cf_internal,0.9584,46414480,IN,West Bengal,Kolkata,103.75.162.215,OPPENHEIMER,5/21/2021,,Conference,None,None/Other,None,,,,"May 21, 2021 Oppenheimer Rare and Orphan Disease Summit Click Here for Webcast",296,,,,,https://www.harmonybiosciences.com/investors/,71
1534,3085621195,8/5/2021 8:05,6144004800,8/5/2021 8:00,False,cf_internal,0.955,46541487,IN,West Bengal,Kolkata,103.240.97.163,FIRST SOLAR,8/6/2020,16:30,Earnings_Release,2020,Quarter 2/Q2,EDT/EST/ET,,,,"AUGUST 6, 2020 04:30 PM ET First Solar, Inc. Second Quarter 2020 Financial Results Webcast",506,,,,,https://investor.firstsolar.com/financial-events/default.aspx,128
1535,3085621195,8/5/2021 8:10,6144007831,8/5/2021 8:00,False,cf_internal,0.9603,46414490,IN,West Bengal,Howrah,103.75.194.242,"SOLAR, INC.",8/6/2020,16:30,None/Other,2020,Quarter 2/Q2,EDT/EST/ET,,,,"AUGUST 6, 2020 04:30 PM ET First Solar, Inc. Second Quarter 2020 Financial Results Webcast",506,,,,,https://investor.firstsolar.com/financial-events/default.aspx,128
1536,3085621195,8/5/2021 8:10,6144007866,8/5/2021 8:00,False,cf_internal,0.9578,46414482,IN,West Bengal,Kolkata,116.193.130.69,"FIRST SOLAR, INC",8/6/2020,16:30,Sales_Results,2020,Quarter 2/Q2,EDT/EST/ET,,,,"AUGUST 6, 2020 04:30 PM ET First Solar, Inc. Second Quarter 2020 Financial Results Webcast",506,,,,,https://investor.firstsolar.com/financial-events/default.aspx,128
1984,3085621347,8/5/2021 12:23,6144153737,8/5/2021 12:11,False,cf_internal,0.9541,46414509,IN,West Bengal,Kolkata,103.18.170.49,TURTLE BEACH,8/6/2020,9:00,Earnings_Release,2020,Quarter 2/Q2,EDT/EST/ET,,,,"Aug 6, 2020 at 09:00 AM EDT	 Turtle Beach Second Quarter 2020 Conference Call  Listen to Webcast",656,,,,,https://corp.turtlebeach.com/events-presentations/,164
1985,3085621347,8/5/2021 12:33,6144161239,8/5/2021 12:25,False,cf_internal,0.9606,45232889,IN,West Bengal,Kolkata,223.31.230.39,TURTLE BEACH,8/6/2020,9:00,Earnings_Call,2020,Quarter 2/Q2,EDT/EST/ET,,,,"Aug 6, 2020 at 09:00 AM EDT	 Turtle Beach Second Quarter 2020 Conference Call  Listen to Webcast",656,,,,,https://corp.turtlebeach.com/events-presentations/,164
1986,3085621347,8/5/2021 12:36,6144162821,8/5/2021 12:21,False,cf_internal,0.9441,46414518,IN,West Bengal,Kolkata,223.223.151.189,TURTLE BEACH,8/6/2020,9:00,Conference,2020,Quarter 2/Q2,EDT/EST/ET,,,,"Aug 6, 2020 at 09:00 AM EDT	 Turtle Beach Second Quarter 2020 Conference Call  Listen to Webcast",656,,,,,https://corp.turtlebeach.com/events-presentations/,164
2521,3085621526,8/5/2021 7:03,6143968838,8/5/2021 6:58,False,cf_internal,0.9584,46414480,IN,West Bengal,Kolkata,103.75.162.215,NONE,2/17/2021,10:00,Earnings_Release,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Fourth Quarter 2020 Financial Results February 17, 2021 10:00 AM ET WEBCAST(OPENS IN NEW WINDOW)",835,,,,,https://ir.wingstop.com/home/default.aspx,207
