,_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,copy_the_company_name_from_the_text,enter_date_here_mmddyyyy,enter_time_here_hhmm_pmam,please_select_the_event_type,select_fiscal_year,select_the_fiscal_period_check_as_many_as_it_applies,select_timezone,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
123,3085620722,7/29/2021 12:46,6138115207,7/29/2021 12:30,False,cf_internal,1.0,45968379,IN,West Bengal,Kolkata,202.142.71.42,J.P. MORGAN,5/24/2021,14:45,Conference,None,"Annual/Yearly
None/Other",EDT/EST/ET,,,,"May 24, 2021 2:45 PM ET J.P. Morgan 49th Annual Global Technology, Media and Communications Conference Webcast",39,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
124,3085620722,7/29/2021 12:59,6138154575,7/29/2021 12:45,False,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,J.P. MORGAN,5/24/2021,17:45,Conference,None,None/Other,EDT/EST/ET,,,,"May 24, 2021 2:45 PM ET J.P. Morgan 49th Annual Global Technology, Media and Communications Conference Webcast",39,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
125,3085620722,7/29/2021 13:32,6138262450,7/29/2021 13:12,False,cf_internal,1.0,46372353,IN,West Bengal,Kolkata,223.31.230.39,J.P. MORGAN,5/24/2021,14:45,Conference,None,Annual/Yearly,EDT/EST/ET,,,,"May 24, 2021 2:45 PM ET J.P. Morgan 49th Annual Global Technology, Media and Communications Conference Webcast",39,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
850,3085620963,8/6/2021 13:12,6145413841,8/6/2021 13:06,False,cf_internal,0.9468,46413071,IN,West Bengal,Kolkata,113.21.64.126,NONE,8/12/2021,,Conference,2021,Annual/Yearly,None,,,,"AUGUST 12, 2021 FY2021 Full Year and Fourth Quarter Conference Call View the Webcast",278,,,,,https://www.royalgold.com/investors/events-presentations/,68
851,3085620963,8/6/2021 13:14,6145415572,8/6/2021 13:01,False,cf_internal,0.9584,46414480,IN,West Bengal,Kolkata,103.75.162.215,NONE,8/12/2021,,Conference,2021,Quarter 4/Q4,None,,,,"AUGUST 12, 2021 FY2021 Full Year and Fourth Quarter Conference Call View the Webcast",278,,,,,https://www.royalgold.com/investors/events-presentations/,68
852,3085620963,8/6/2021 13:15,6145415973,8/6/2021 13:01,False,cf_internal,0.955,46541487,IN,West Bengal,Kolkata,103.240.97.163,NONE,8/12/2021,,Conference,2021,"Quarter 4/Q4
Annual/Yearly",None,,,,"AUGUST 12, 2021 FY2021 Full Year and Fourth Quarter Conference Call View the Webcast",278,,,,,https://www.royalgold.com/investors/events-presentations/,68
1468,3085621173,8/6/2021 9:22,6145273322,8/6/2021 9:13,False,cf_internal,0.9470000000000001,46414484,IN,West Bengal,Howrah,103.75.194.242,"CREATIVE REALITIES, INC.",11/13/2020,,Earnings_Call,None,Quarter 4/Q4,None,,,,"November 13, 2020 Creative Realities, Inc. Quarter Ended September 30, 2020 Earnings Call",484,,,,,https://investors.cri.com/webcasts-presentations,120
1469,3085621173,8/6/2021 9:23,6145274344,8/6/2021 9:11,False,cf_internal,0.955,46541487,IN,West Bengal,Kolkata,103.240.97.163,"CREATIVE REALITIES, INC.",11/13/2020,,Earnings_Call,2020,Quarter 2/Q2,None,,,,"November 13, 2020 Creative Realities, Inc. Quarter Ended September 30, 2020 Earnings Call",484,,,,,https://investors.cri.com/webcasts-presentations,120
1470,3085621173,8/6/2021 9:30,6145277801,8/6/2021 9:14,False,cf_internal,0.9584,46414480,IN,West Bengal,Kolkata,103.75.162.215,"CREATIVE REALITIES, INC.",11/18/2020,,Earnings_Call,None,None/Other,None,,,,"November 13, 2020 Creative Realities, Inc. Quarter Ended September 30, 2020 Earnings Call",484,,,,,https://investors.cri.com/webcasts-presentations,120
2452,3085621503,8/6/2021 14:23,6145459776,8/6/2021 14:17,False,cf_internal,0.9468,46413071,IN,West Bengal,Kolkata,113.21.64.126,VEEVA SYSTEMS,,,Conference,2021,Annual/Yearly,None,,,,Veeva Systems' Fiscal 2021 Fourth Quarter and Full Year Results Conference Call Listen to Webcast,812,,,,,https://ir.veeva.com/investors/news-and-events/events-and-presentations/default.aspx,201
2453,3085621503,8/6/2021 14:31,6145464658,8/6/2021 14:16,False,cf_internal,0.9584,46414480,IN,West Bengal,Kolkata,103.75.162.215,VEEVA SYSTEMS,,,None/Other,2021,"Quarter 4/Q4
Annual/Yearly",None,,,,Veeva Systems' Fiscal 2021 Fourth Quarter and Full Year Results Conference Call Listen to Webcast,812,,,,,https://ir.veeva.com/investors/news-and-events/events-and-presentations/default.aspx,201
2454,3085621503,8/6/2021 14:38,6145469086,8/6/2021 14:16,False,cf_internal,0.9507,45727626,IN,West Bengal,Kolkata,14.99.28.194,VEEVA SYSTEMS,,,Conference,2021,Quarter 4/Q4,None,,,,Veeva Systems' Fiscal 2021 Fourth Quarter and Full Year Results Conference Call Listen to Webcast,812,,,,,https://ir.veeva.com/investors/news-and-events/events-and-presentations/default.aspx,201
2845,3085621634,8/6/2021 11:46,6145356734,8/6/2021 11:38,False,cf_internal,0.9640000000000001,46414510,IN,West Bengal,Kolkata,223.31.230.39,NEEDHAM,5/20/2021,11:45,Conference,None,None/Other,EDT/EST/ET,,,,"Needham 16th Annual Technology & Media Virtual Conference May 20, 2021 11:45 AM EDT Click here for webcast",943,,,,,https://ir.jamf.com/news-events/presentations,235
2846,3085621634,8/6/2021 11:50,6145359367,8/6/2021 11:37,False,cf_internal,0.9468,46413071,IN,West Bengal,Kolkata,113.21.64.126,NEEDHAM,5/20/2021,11:45,Conference,None,Quarter 1/Q1,EDT/EST/ET,,,,"Needham 16th Annual Technology & Media Virtual Conference May 20, 2021 11:45 AM EDT Click here for webcast",943,,,,,https://ir.jamf.com/news-events/presentations,235
2847,3085621634,8/6/2021 11:51,6145359780,8/6/2021 11:38,False,cf_internal,0.9507,45727626,IN,West Bengal,Kolkata,14.99.28.194,NEEDHAM,5/20/2021,11:45,Conference,None,Annual/Yearly,EDT/EST/ET,,,,"Needham 16th Annual Technology & Media Virtual Conference May 20, 2021 11:45 AM EDT Click here for webcast",943,,,,,https://ir.jamf.com/news-events/presentations,235
