_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,copy_the_company_name_from_the_text,copy_the_company_name_from_the_text:confidence,enter_date_here_mmddyyyy,enter_date_here_mmddyyyy:confidence,enter_time_here_hhmm_pmam,enter_time_here_hhmm_pmam:confidence,please_select_the_event_type,please_select_the_event_type:confidence,select_fiscal_year,select_fiscal_year:confidence,select_the_fiscal_period_check_as_many_as_it_applies,select_the_fiscal_period_check_as_many_as_it_applies:confidence,select_timezone,select_timezone:confidence,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
3085620683,finalized,3,7/28/2021 12:37,UBS,1,6/8/2021,1,,,Conference,1,None,1,None/Other,1,None,1,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,finalized,3,7/29/2021 13:54,ASTRONICS,1,5/6/2021,1,11:00,1,Earnings_Call,1,2021,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,finalized,3,7/29/2021 10:21,ASTRONICS,1,2/23/2021,1,11:00,1,Earnings_Call,1,2020,1,Quarter 4/Q4,1,EDT/EST/ET,1,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620686,finalized,3,7/29/2021 13:45,ASTRONICS,1,2/23/2021,1,11:00,1,Earnings_Call,1,2020,1,Quarter 4/Q4,1,EDT/EST/ET,1,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",3,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620687,finalized,3,7/29/2021 10:21,BAIRD,1,11/11/2020,1,,,Conference,1,2020,1,None/Other,1,None,1,,,,"Baird 2020 Global Industrial Conference Nov 11, 2020",4,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620688,finalized,4,7/28/2021 13:09,NONE,1,5/19/2021,1,10:00,1,Shareholder_Meeting,1,2021,1,Annual/Yearly,1,PDT/PST/PT,1,,,,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",5,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620689,finalized,4,7/28/2021 12:43,NONE,1,5/10/2021,1,16:30,1,Earnings_Call,1,2021,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",6,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620690,finalized,4,7/28/2021 12:32,NONE,1,3/8/2021,0.7493,16:30,1,Earnings_Call,1,2020,0.7493,Quarter 4/Q4,1,EDT/EST/ET,1,,,,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",7,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620691,finalized,3,7/29/2021 13:45,NONE,1,11/5/2020,1,16:30,1,Earnings_Call,1,2020,1,Quarter 3/Q3,1,EDT/EST/ET,1,,,,"Nov 5, 2020 4:30 pm EDT Third Quarter 2020 Earnings Conference Call",8,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620692,finalized,3,7/29/2021 14:01,NONE,1,8/6/2020,1,15:00,1,Earnings_Call,1,2020,1,Quarter 2/Q2,1,EDT/EST/ET,1,,,,"Aug 6, 2020 3:00 pm EDT Second Quarter 2020 Earnings Conference Call",9,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
