id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
1,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",https://investors.astronics.com/news-events/ir-calendar,1,UBS,NONE,NONE,Conference,"Jun 8, 2021",NONE,NONE
2,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",https://investors.astronics.com/news-events/ir-calendar,1,ASTRONICS,2021,Q1,Earnings Call,"May 6, 2021",11:00 AM,ET
3,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",https://investors.astronics.com/news-events/ir-calendar,1,ASTRONICS,2020,Q4,Earnings Call,"Feb 23, 2021",11:00 AM,ET
4,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",https://investors.astronics.com/news-events/ir-calendar,1,ASTRONICS,2020,Q4,Earnings Call,"Feb 23, 2021",11:00 AM,ET
5,"Baird 2020 Global Industrial Conference Nov 11, 2020",https://investors.astronics.com/news-events/ir-calendar,1,BAIRD,2020,NONE,Conference,"Nov 11, 2020",NONE,NONE
6,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Y,Shareholder Meeting,"May 19, 2021",10:00 AM,PDT
7,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Q1,Earnings Call,"May 10, 2021",04:30 PM,ET
8,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Q4,Earnings Call,"Mar 8, 2021",04:30 PM,ET
9,"Nov 5, 2020 4:30 pm EDT Third Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Q3,Earnings Call,"Nov 5, 2020",04:30 PM,ET
10,"Aug 6, 2020 3:00 pm EDT Second Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Q2,Earnings Call,"Aug 6, 2020",03:00 PM,ET
11,"Special Meeting of Stockholders Jun 11, 2021 at 8:30 AM EDT Shareholder control number required to join Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,NONE,NONE,Shareholder Meeting,"Jun 11, 2021",08:30 AM,ET
12,"Fourth Quarter 2020 Earnings Feb 26, 2021 at 8:30 AM EST Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,2020,Q4,Earnings Release,"Feb 26, 2021",08:30 AM,ET
13,"Third Quarter 2020 Earnings Nov 10, 2020 at 8:30 AM EST Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,2020,Q3,Earnings Release,"Nov 10, 2020",08:30 AM,ET
14,"Stifel 2020 Cross Sector Insight Conference Jun 10, 2020 at 9:20 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,STIFEL,2020,NONE,Conference,"Jun 10, 2020",09:20 AM,ET
15,"First Quarter 2020 Earnings May 7, 2020 at 8:30 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,2020,Q1,Earnings Release,"May 7, 2020",08:30 AM,ET
16,"Jul 23, 2021 at 9:00 AM CDT	 Second Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Q2,Earnings Release,"Jul 23, 2021",09:00 AM,CDT
17,"Oct 25, 2021 at 9:00 AM CDT	 Third Quarter 2021 Earnings",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Q3,Earnings Release,"Oct 25, 2021",09:00 AM,CDT
18,"Jun 3, 2021 at 10:00 AM CDT	 Bernstein’s 2021 Strategic Decisions Conference Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,BERNSTEIN,2021,NONE,Conference,"Jun 3, 2021",10:00 AM,CDT
19,"Apr 29, 2021 at 9:00 AM CDT	 2021 Annual Meeting of Stockholders Click here for live webcast of Annual Meeting",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Y,Shareholder Meeting,"Apr 29, 2021",09:00 AM,CDT
20,"Apr 23, 2021 at 9:00 AM CDT	 First Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Q1,Earnings Release,"Apr 23, 2021",09:00 AM,CDT
21,"JUN 15, 2021 7:09AM EDT Sutro Biopharma to Participate in Two Virtual Investor Conferences in June",https://ir.sutrobio.com/company-information/presentations,5,SUTRO BIOPHARMA,NONE,NONE,Conference,"Jun 15, 2021",07:09 AM,ET
22,"JUN 17, 2021 3:30 PM EDT JMP Securities Life Sciences Conference",https://ir.sutrobio.com/company-information/presentations,5,JMP SECURITIES,NONE,NONE,Conference,"Jun 17, 2021",03:30 PM,ET
23,"JUN 23, 2021 10:40 AM EDT Raymond James Human Health Innovation Conference",https://ir.sutrobio.com/company-information/presentations,5,RAYMOND JAMES,NONE,NONE,Conference,"Jun 23, 2021",10:40 AM,ET
24,"JUN 3, 2021 10:00 AM PDT 2021 Annual Meeting of Stockholders",https://ir.sutrobio.com/company-information/presentations,5,NONE,2021,Y,Shareholder Meeting,"Jun 3, 2021",10:00 AM,PDT
25,"JUN 2, 2021 4:30 PM EDT Jefferies Virtual Healthcare Conference",https://ir.sutrobio.com/company-information/presentations,5,JEFFERIES,NONE,NONE,Conference,"Jun 2, 2021",04:30 PM,ET
26,"August 05, 2021 5:00 PM ET 	 Switch Inc. Second Quarter 2021 Earnings Conference Call  Webcast",https://investors.switch.com/events-and-presentations,6,SWITCH INC.,2021,Q2,Earnings Call,"Aug 5, 2021",05:00 PM,ET
27,"June 15, 2021 11:55 AM ET 	 Credit Suisse 23rd Annual Communications Conference  Webcast",https://investors.switch.com/events-and-presentations,6,CREDIT SUISSE,NONE,Y,Conference,"Jun 15, 2021",11:55 AM,ET
28,"June 09, 2021 3:20 PM ET 	 Stifel 2021 Cross Sector Insight Conference  Webcast",https://investors.switch.com/events-and-presentations,6,STIFEL,2021,NONE,Conference,"Jun 9, 2021",03:20 PM,ET
29,"June 02, 2021 3:50 PM ET 	 Cowen 49th Annual Technology, Media & Telecom Conference  Webcast",https://investors.switch.com/events-and-presentations,6,COWEN,NONE,Y,Conference,"Jun 2, 2021",03:50 PM,ET
30,"June 01, 2021 3:00 PM ET 	 William Blair 41st Annual Growth Stock Conference  Webcast",https://investors.switch.com/events-and-presentations,6,WILLIAM BLAIR,NONE,Y,Conference,"Jun 1, 2021",03:00 PM,ET
