,id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
0,1,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",https://investors.astronics.com/news-events/ir-calendar,1,UBS,NONE,NONE,Conference,"Jun 08, 2021",NONE,NONE
1,2,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",https://investors.astronics.com/news-events/ir-calendar,1,ASTRONICS,2021,Q1,Earnings Call,"May 06, 2021",11:00,ET
2,3,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",https://investors.astronics.com/news-events/ir-calendar,1,ASTRONICS,2020,Q4,Earnings Call,"Feb 23, 2021",11:00,ET
3,4,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",https://investors.astronics.com/news-events/ir-calendar,1,ASTRONICS,2020,Q4,Earnings Call,"Feb 23, 2021",11:00,ET
4,5,"Baird 2020 Global Industrial Conference Nov 11, 2020",https://investors.astronics.com/news-events/ir-calendar,1,BAIRD,2020,NONE,Conference,"Nov 11, 2020",NONE,NONE
5,6,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Y,Shareholder Meeting,"May 19, 2021",10:00,PDT
6,7,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Q1,Earnings Call,"May 10, 2021",16:30,ET
7,8,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Q4,Earnings Call,"Mar 08, 2021",16:30,ET
8,9,"Nov 5, 2020 4:30 pm EDT Third Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Q3,Earnings Call,"Nov 05, 2020",16:30,ET
9,10,"Aug 6, 2020 3:00 pm EDT Second Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Q2,Earnings Call,"Aug 06, 2020",15:00,ET
10,11,"Special Meeting of Stockholders Jun 11, 2021 at 8:30 AM EDT Shareholder control number required to join Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,NONE,NONE,Shareholder Meeting,"Jun 11, 2021",08:30,ET
11,12,"Fourth Quarter 2020 Earnings Feb 26, 2021 at 8:30 AM EST Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,2020,Q4,Earnings Release,"Feb 26, 2021",08:30,ET
12,13,"Third Quarter 2020 Earnings Nov 10, 2020 at 8:30 AM EST Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,2020,Q3,Earnings Release,"Nov 10, 2020",08:30,ET
13,14,"Stifel 2020 Cross Sector Insight Conference Jun 10, 2020 at 9:20 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,STIFEL,2020,NONE,Conference,"Jun 10, 2020",09:20,ET
14,15,"First Quarter 2020 Earnings May 7, 2020 at 8:30 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,NONE,2020,Q1,Earnings Release,"May 07, 2020",08:30,ET
15,16,"Jul 23, 2021 at 9:00 AM CDT	 Second Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Q2,Earnings Release,"Jul 23, 2021",09:00,CDT
16,17,"Oct 25, 2021 at 9:00 AM CDT	 Third Quarter 2021 Earnings",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Q3,Earnings Release,"Oct 25, 2021",09:00,CDT
17,18,"Jun 3, 2021 at 10:00 AM CDT	 Bernstein’s 2021 Strategic Decisions Conference Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,BERNSTEIN,2021,NONE,Conference,"Jun 03, 2021",10:00,CDT
18,19,"Apr 29, 2021 at 9:00 AM CDT	 2021 Annual Meeting of Stockholders Click here for live webcast of Annual Meeting",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Y,Shareholder Meeting,"Apr 29, 2021",09:00,CDT
19,20,"Apr 23, 2021 at 9:00 AM CDT	 First Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Q1,Earnings Release,"Apr 23, 2021",09:00,CDT
