id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
329,"Wednesday, August 4, 2021 JEFFERIES VIRTUAL INDUSTRIALS CONFERENCE",https://investors.cecoenviro.com/events-webcasts-and-presentations,80,JEFFERIES,NONE,NONE,Conference,"Aug 4, 2021",NONE,NONE
689,"2021 ACOG Annual Meeting April 30 – May 2, 2021",https://ir.scynexis.com/presentations,171,ACOG,2021,Y,None/Other,"Apr 30, 2021",NONE,NONE
414,"CORPORATE UPDATE CONFERENCE CALL JANUARY 7, 2021 • 4:15 PM",https://ir.gtbiopharma.com/ir-calendar,100,NONE,NONE,NONE,Earnings Call,"Jan 7, 2021",04:15 PM,NONE
789,"Universal Display Corporation's Fourth Quarter and Fiscal Year 2020 Teleconference February 18, 2021 05:00 PM ET",https://ir.oled.com/shareholders/events-and-presentations/default.aspx,194,UNIVERSAL DISPLAY CORPORATION,2020,Q4,Conference,"Feb 18, 2021",05:00 PM,ET
245,"May 5, 2021 at 10:30 AM EDT Avista Corporation Q1 2021 Earnings Conference Call Click here for webcast",https://investor.avistacorp.com/events-and-presentations,59,AVISTA CORPORATION,2021,Q1,Earnings Call,"May 5, 2021",10:30 AM,ET
760,"March 3, 2021 at 8:40 AM PST Seer, Inc. at Cowen 41st Annual Healthcare Conference",https://investor.seer.bio/news-and-events/investor-calendar,188,"SEER, INC",NONE,Y,Conference,"Mar 3, 2021",08:40 AM,PDT
97,"2nd Quarter  2021 Q2 Earnings Release October 27, 2020",https://www.transcat.com/investor-relations/earnings-releases/,23,NONE,2021,Q2,Earnings Release,"Oct 27, 2020",NONE,NONE
606,"Wednesday, May 5, 2021 at 5:00 PM EDT Q1 2021 Nu Skin Enterprises Earnings Conference Call",http://ir.nuskin.com/events-and-presentations?c=103888&p=irol-calendar,152,NU SKIN ENTERPRISES,2021,Q1,Earnings Call,"May 5, 2021",05:00 PM,ET
735,"""NO EVENTS FOUND""",http://investors.myokardia.com/events-and-presentations,183,NONE,NONE,NONE,None/Other,NONE,NONE,NONE
102,"Q4 2020 Collegium Pharmaceutical Inc Earnings Conference Call Feb 25, 2021 at 4:30 PM EST Click Here for Webcast",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,2020,Q4,Earnings Call,"Feb 25, 2021",04:30 PM,ET
1094,"Q4 2020 H.B. FULLER COMPANY EARNINGS CONFERENCE CALL JANUARY 26, 2021 10:30 AM ET",https://investors.hbfuller.com/events-and-presentations/presentations/default.aspx,273,H.B. FULLER,2020,Q4,Earnings Call,"Jan 26, 2021",10:30 AM,ET
71,"Tuesday, August 3, 2021  11:00am - 12:00pm CDT 2Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Q2,Earnings Call,"Aug 3, 2021",12:00 PM,CDT
334,"Digitalization in Energy Virtual Conference October 6, 2021 Streaming On-Demand",https://www.hartenergyconferences.com/future-events-updated,81,NONE,NONE,NONE,Conference,"Oct 6, 2021",NONE,NONE
454,"Feb 25, 2021	3rd Quarter 2020 Earnings Conference Call	 Play",https://investor.graniteconstruction.com/,112,NONE,2020,Q3,Earnings Call,"Feb 25, 2021",NONE,NONE
142,"Oasis Midstream's 3Q 2020 Earnings Call Nov 04, 2020 10:00am - 11:00am CST",https://oasismidstream.investorroom.com/events-presentations,33,OASIS MIDSTREAM,2020,Q3,Earnings Call,"Nov 4, 2020",11:00 AM,CDT
544,"Stifel 2021 Virtual Jaws & Paws Conference June 2, 2021 at 9:00 AM EDT Listen to Webcast",https://ir.covetrus.com/investors/events-and-presentations,137,STIFEL,2021,NONE,Conference,"Jun 2, 2021",09:00 AM,ET
293,09 MAR 2021 Goldman Sachs to Present at the RBC Global Financial Institutions Conference 2021,https://www.goldmansachs.com/investor-relations/presentations/index.html,70,GOLDMAN SACHS,2021,NONE,Conference,"Mar 9, 2021",NONE,NONE
