_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,copy_the_company_name_from_the_text,enter_date_here_mmddyyyy,enter_time_here_hhmm_pmam,please_select_the_event_type,select_fiscal_year,select_the_fiscal_period_check_as_many_as_it_applies,select_timezone,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
3085620683,7/28/2021 10:16:53,6136003125,7/28/2021 10:10:27,false,cf_internal,0.9384,44474126,IN,West Bengal,Kolkata,14.99.28.194,UBS,06/08/2021,,Conference,None,None/Other,None,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620683,7/28/2021 11:34:12,6136066250,7/28/2021 11:23:29,false,cf_internal,0.9304,45431031,IN,West Bengal,Kolkata,115.112.75.70,UBS,06/08/2021,,Conference,None,None/Other,None,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620683,7/28/2021 12:37:11,6136195735,7/28/2021 12:33:16,false,cf_internal,1,46420152,IN,West Bengal,Kolkata,14.99.28.194,UBS,06/08/2021,,Conference,None,None/Other,None,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,7/29/2021 12:58:06,6138151679,7/29/2021 12:52:03,false,cf_internal,1.0,45968379,IN,West Bengal,Kolkata,202.142.71.42,ASTRONICS,05/06/2021,11:00,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,7/29/2021 13:46:19,6138285816,7/29/2021 13:33:11,false,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,05/06/2021,11:00,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,7/29/2021 13:54:39,6138294211,7/29/2021 13:39:03,false,cf_internal,1,44568547,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,05/06/2021,11:00,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,7/29/2021 09:47:30,6137673199,7/29/2021 09:31:29,false,cf_internal,0.9599,45232892,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,02/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,7/29/2021 09:52:23,6137676346,7/29/2021 09:30:46,false,cf_internal,0.9461,44475789,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,02/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,7/29/2021 10:21:31,6137697148,7/29/2021 10:07:05,false,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,02/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620686,7/29/2021 12:52:00,6138137380,7/29/2021 12:46:22,false,cf_internal,1.0,45968379,IN,West Bengal,Kolkata,202.142.71.42,ASTRONICS,02/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",3,,,,,https://investors.astronics.com/news-events/ir-calendar,1
