,id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
0,0,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",https://investors.astronics.com/news-events/ir-calendar,1,UBS,None,None/Other,Conference,06/08/2021,nan,None
1,0,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",https://investors.astronics.com/news-events/ir-calendar,1,UBS,None,None/Other,Conference,06/08/2021,nan,None
2,5,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Annual/Yearly,Shareholder_Meeting,05/19/2021,10:00,PDT/PST/PT
3,5,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Annual/Yearly,Shareholder_Meeting,05/19/2021,10:00,PDT/PST/PT
4,5,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Annual/Yearly,Shareholder_Meeting,05/19/2021,10:00,PDT/PST/PT
5,6,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Quarter 1/Q1,Earnings_Call,05/10/2021,16:30,EDT/EST/ET
6,6,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Quarter 1/Q1,Earnings_Call,05/10/2021,16:30,EDT/EST/ET
7,6,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2021,Quarter 1/Q1,Earnings_Call,05/10/2021,16:30,EDT/EST/ET
8,7,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Quarter 4/Q4,Earnings_Call,03/08/2021,16:30,EDT/EST/ET
9,7,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,2020,Quarter 4/Q4,Earnings_Call,03/08/2021,16:30,EDT/EST/ET
