_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,copy_the_company_name_from_the_text,enter_date_here_mmddyyyy,enter_time_here_hhmm_pmam,please_select_the_event_type,select_fiscal_year,select_the_fiscal_period_check_as_many_as_it_applies,select_timezone,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
3085620683,7/28/2021 10:16,6136003125,7/28/2021 10:10,FALSE,cf_internal,0.9384,44474126,IN,West Bengal,Kolkata,14.99.28.194,UBS,6/8/2021,,Conference,None,None/Other,None,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620683,7/28/2021 11:34,6136066250,7/28/2021 11:23,FALSE,cf_internal,0.9304,45431031,IN,West Bengal,Kolkata,115.112.75.70,UBS,6/8/2021,,Conference,None,None/Other,None,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620683,7/28/2021 12:37,6136195735,7/28/2021 12:33,FALSE,cf_internal,1,46420152,IN,West Bengal,Kolkata,14.99.28.194,UBS,6/8/2021,,Conference,None,None/Other,None,,,,"UBS Global Industrials and Transportation Virtual Conference Jun 8, 2021",0,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,7/29/2021 12:58,6138151679,7/29/2021 12:52,FALSE,cf_internal,1,45968379,IN,West Bengal,Kolkata,202.142.71.42,ASTRONICS,5/6/2021,11:00,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,7/29/2021 13:46,6138285816,7/29/2021 13:33,FALSE,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,5/6/2021,11:00,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620684,7/29/2021 13:54,6138294211,7/29/2021 13:39,FALSE,cf_internal,1,44568547,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,5/6/2021,11:00,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"Q1 2021 Astronics Earnings Conference Call May 6, 2021 • 11:00am EDT",1,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,7/29/2021 9:47,6137673199,7/29/2021 9:31,FALSE,cf_internal,0.9599,45232892,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,2/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,7/29/2021 9:52,6137676346,7/29/2021 9:30,FALSE,cf_internal,0.9461,44475789,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,2/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620685,7/29/2021 10:21,6137697148,7/29/2021 10:07,FALSE,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,2/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",2,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620686,7/29/2021 12:52,6138137380,7/29/2021 12:46,FALSE,cf_internal,1,45968379,IN,West Bengal,Kolkata,202.142.71.42,ASTRONICS,2/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",3,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620686,7/29/2021 13:13,6138199067,7/29/2021 12:59,FALSE,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,2/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",3,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620686,7/29/2021 13:45,6138284678,7/29/2021 13:32,FALSE,cf_internal,1,46372353,IN,West Bengal,Kolkata,223.31.230.39,ASTRONICS,2/23/2021,11:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Q4 2020 Astronics Earnings Conference Call Feb 23, 2021 • 11:00am EDT",3,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620687,7/29/2021 9:47,6137673206,7/29/2021 9:31,FALSE,cf_internal,0.9599,45232892,IN,West Bengal,Kolkata,223.31.230.39,BAIRD,11/11/2020,,Conference,2020,None/Other,None,,,,"Baird 2020 Global Industrial Conference Nov 11, 2020",4,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620687,7/29/2021 9:52,6137676355,7/29/2021 9:30,FALSE,cf_internal,0.9461,44475789,IN,West Bengal,Kolkata,223.31.230.39,BAIRD,11/11/2020,,Conference,2020,None/Other,None,,,,"Baird 2020 Global Industrial Conference Nov 11, 2020",4,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620687,7/29/2021 10:21,6137697151,7/29/2021 10:07,FALSE,cf_internal,0.9384,45232718,IN,West Bengal,Kolkata,223.31.230.39,BAIRD,11/11/2020,,Conference,2020,None/Other,None,,,,"Baird 2020 Global Industrial Conference Nov 11, 2020",4,,,,,https://investors.astronics.com/news-events/ir-calendar,1
3085620688,7/28/2021 9:27,6135972793,7/28/2021 9:22,FALSE,cf_internal,0.9384,44474126,IN,West Bengal,Kolkata,14.99.28.194,NONE,5/19/2021,10:00,Shareholder_Meeting,2021,Annual/Yearly,PDT/PST/PT,,,,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",5,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620688,7/28/2021 10:27,6136011462,7/28/2021 10:22,FALSE,cf_internal,0.9304,45431031,IN,West Bengal,Kolkata,115.112.75.70,NONE,5/19/2021,10:00,Shareholder_Meeting,2021,Annual/Yearly,PDT/PST/PT,,,,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",5,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620688,7/28/2021 11:11,6136046977,7/28/2021 11:01,FALSE,cf_internal,1,46420152,IN,West Bengal,Kolkata,14.99.28.194,NONE,5/19/2021,10:00,Shareholder_Meeting,2021,Annual/Yearly,PDT/PST/PT,,,,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",5,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620688,7/28/2021 13:09,6136306892,7/28/2021 12:58,FALSE,cf_internal,0.9599,45232892,IN,West Bengal,Kolkata,223.31.230.39,NONE,5/19/2021,10:00,Shareholder_Meeting,2021,Annual/Yearly,PDT/PST/PT,,,,"May 19, 2021 10:00 am PDT 2021 Annual Meeting of Stockholders",5,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620689,7/28/2021 9:21,6135969012,7/28/2021 9:14,FALSE,cf_internal,0.9384,44474126,IN,West Bengal,Kolkata,14.99.28.194,NONE,5/10/2021,16:30,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",6,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620689,7/28/2021 9:58,6135990751,7/28/2021 9:53,FALSE,cf_internal,0.9304,45431031,IN,West Bengal,Kolkata,115.112.75.70,NONE,5/10/2021,16:30,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",6,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620689,7/28/2021 11:01,6136038631,7/28/2021 10:54,FALSE,cf_internal,1,46420152,IN,West Bengal,Kolkata,14.99.28.194,NONE,5/10/2021,16:30,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",6,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620689,7/28/2021 12:43,6136216782,7/28/2021 12:34,FALSE,cf_internal,0.9599,45232892,IN,West Bengal,Kolkata,223.31.230.39,NONE,5/10/2021,16:30,Earnings_Call,2021,Quarter 1/Q1,EDT/EST/ET,,,,"May 10, 2021 4:30 pm EDT First Quarter 2021 Earnings Conference Call",6,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620690,7/28/2021 8:13,6135929249,7/28/2021 8:08,FALSE,cf_internal,0.9384,44474126,IN,West Bengal,Kolkata,14.99.28.194,NONE,3/8/2021,16:30,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",7,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620690,7/28/2021 9:39,6135979706,7/28/2021 9:35,FALSE,cf_internal,0.9304,45431031,IN,West Bengal,Kolkata,115.112.75.70,NONE,3/8/2021,16:30,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",7,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620690,7/28/2021 10:54,6136033403,7/28/2021 10:49,FALSE,cf_internal,1,46420152,IN,West Bengal,Kolkata,14.99.28.194,NONE,3/8/2021,16:30,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",7,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620690,7/28/2021 12:32,6136180214,7/28/2021 12:22,FALSE,cf_internal,0.9599,45232892,IN,West Bengal,Kolkata,223.31.230.39,NONE,4/8/2021,16:30,Earnings_Call,None,Quarter 4/Q4,EDT/EST/ET,,,,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",7,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
3085620691,7/29/2021 12:52,6138137370,7/29/2021 12:46,FALSE,cf_internal,1,45968379,IN,West Bengal,Kolkata,202.142.71.42,NONE,11/5/2020,16:30,Earnings_Call,2020,Quarter 3/Q3,EDT/EST/ET,,,,"Nov 5, 2020 4:30 pm EDT Third Quarter 2020 Earnings Conference Call",8,,,,,http://investors.fullhouseresorts.com/news-event/presentations,2
